x,y,Party
-82.49558398,28.54996945,DEM
-82.21284383,28.51283484,REP
-82.53861315,28.50218644,DEM
-82.54706674,28.49620529,REP
-82.52506854,28.49454743,REP
-82.5923932,28.45685807,REP
-82.60284074,28.46275476,REP
-82.50645056,28.49598577,DEM
-82.11099621,28.4831108,REP
-82.41264925,28.44148209,REP
-82.54227905,28.44182436,DEM
-82.49153132,28.51384009,DEM
-82.65512501,28.45628903,REP
-82.29841648,28.52237212,REP
-82.4994878,28.54419425,DEM
-82.49922649,28.52948159,REP
-82.5134196,28.63022816,REP
-82.51987931,28.46295186,REP
-82.6553017,28.58195789,REP
-82.58504243,28.48794927,REP
-82.56578421,28.58868955,DEM
-82.56297301,28.50788355,REP
-82.50877065,28.49218644,REP
-82.51402406,28.50290984,REP
-82.07606535,28.51212779,DEM
-82.54817184,28.50173085,REP
-82.39830725,28.63309305,DEM
-82.52102528,28.5336108,DEM
-82.52338148,28.48164787,REP
-82.52585173,28.5004437,DEM
-82.53891371,28.46513627,REP
-82.58881127,28.51590496,REP
-82.56809671,28.44927785,REP
-82.52831773,28.46950004,DEM
-82.5795523,28.49057911,DEM
-82.47491388,28.50103876,REP
-82.56975147,28.4486186,DEM
-82.50897943,28.4452588,REP
-82.63768276,28.64528261,DEM
-82.18819624,28.53327979,REP
-82.53596283,28.44380565,REP
-82.54851965,28.45370619,REP
-82.54897063,28.43907227,REP
-82.49422472,28.53274187,DEM
-82.60166009,28.46140251,DEM
-82.53441977,28.61310203,REP
-82.65772944,28.58948816,REP
-82.39615627,28.52710743,DEM
-82.49532449,28.52082425,REP
-82.53132693,28.4922552,REP
-82.6294215,28.64258035,REP
-82.48065473,28.49285834,DEM
-82.52128286,28.55404772,DEM
-82.58772895,28.48692226,REP
-82.56427378,28.47027063,DEM
-82.5654238,28.44624484,REP
-82.18539728,28.54260965,DEM
-82.57374991,28.45419735,REP
-82.41637418,28.50267462,REP
-82.52792159,28.45183373,DEM
-82.46136322,28.46157169,DEM
-82.58205538,28.46454068,REP
-82.60089771,28.48524447,REP
-82.51322072,28.45741143,REP
-82.56248409,28.48883969,DEM
-82.52921012,28.49503094,REP
-82.426104,28.58193532,DEM
-82.54262365,28.49971938,REP
-82.6374453,28.43635518,REP
-82.52241667,28.49951085,REP
-82.17360154,28.5421378,DEM
-82.39956551,28.55801687,REP
-82.61671947,28.46592465,REP
-82.58062654,28.49267315,REP
-82.55417878,28.52236566,REP
-82.49831123,28.47152996,REP
-82.61762921,28.67714455,REP
